ID,realSum,room_type,person_capacity,bedrooms,dist,metro_dist,City,Host_ID
97,310.97,Entire home/apt,2,1,3.6,2.6,Amsterdam,5
98,295.03,Entire home/apt,2,1,4.7,3.0,Amsterdam,2
99,344.25,Entire home/apt,2,0,4.2,0.1,Amsterdam,2
100,3004.94,Entire home/apt,4,4,1.6,1.4,Amsterdam,1
101,539.22,Entire home/apt,2,1,3.8,0.9,Amsterdam,4
102,460.95,Private room,2,1,0.6,0.4,Amsterdam,1
103,1376.51,Entire home/apt,4,2,1.9,1.6,Amsterdam,4
104,415.49,Entire home/apt,4,1,5.0,1.7,Amsterdam,2
105,215.12,Private room,2,1,3.6,2.5,Amsterdam,1
106,393.46,Private room,2,1,1.5,0.2,Amsterdam,5
107,232.23,Private room,2,0,3.7,1.6,Amsterdam,3
108,774.26,Entire home/apt,2,1,1.8,0.5,Amsterdam,4
109,291.05,Private room,2,1,0.7,0.4,Amsterdam,3
110,604.6,Entire home/apt,4,1,1.9,0.7,Amsterdam,3
111,467.04,Entire home/apt,2,1,1.4,1.4,Amsterdam,1
112,744.5,Entire home/apt,2,0,2.7,1.8,Amsterdam,3
113,250.74,Private room,2,1,2.1,1.6,Amsterdam,5
114,544.14,Private room,4,2,1.8,1.9,Amsterdam,3
115,424.16,Entire home/apt,2,1,3.3,0.6,Amsterdam,1
116,675.6,Entire home/apt,2,1,1.2,0.5,Amsterdam,5
117,909.47,Entire home/apt,4,2,2.6,0.4,Amsterdam,2
118,264.1,Private room,2,1,2.9,1.1,Amsterdam,3
119,196.61,Private room,2,1,10.7,0.5,Amsterdam,1
120,700.44,Entire home/apt,4,2,4.9,1.0,Amsterdam,2
121,307.22,Private room,2,1,3.8,2.6,Amsterdam,2
122,528.2,Private room,4,1,4.3,0.2,Amsterdam,4
123,675.6,Entire home/apt,2,1,3.4,2.1,Amsterdam,5
124,675.6,Entire home/apt,4,1,2.0,0.5,Amsterdam,3
125,515.78,Entire home/apt,3,1,3.1,2.3,Amsterdam,1
126,442.67,Entire home/apt,2,1,1.7,0.2,Amsterdam,4
127,596.16,Entire home/apt,4,3,1.9,0.3,Amsterdam,5
128,920.49,Entire home/apt,4,3,1.2,0.9,Amsterdam,4
129,718.96,Entire home/apt,2,1,2.9,0.7,Amsterdam,5
130,276.52,Private room,2,1,7.7,3.2,Amsterdam,5
131,988.21,Entire home/apt,4,3,2.1,0.1,Amsterdam,3
132,270.43,Private room,2,1,2.5,0.3,Amsterdam,5
133,798.63,Entire home/apt,4,2,0.2,0.3,Amsterdam,4
134,3637.66,Entire home/apt,4,3,0.7,0.2,Amsterdam,5
135,479.46,Entire home/apt,3,1,2.0,1.5,Amsterdam,3
136,934.08,Entire home/apt,2,1,1.2,1.3,Amsterdam,3
137,639.05,Entire home/apt,4,2,1.8,1.6,Amsterdam,4
138,1474.94,Private room,5,2,1.1,1.2,Amsterdam,2
139,1020.08,Entire home/apt,4,2,1.4,0.1,Amsterdam,2
140,1192.09,Entire home/apt,4,2,0.7,0.9,Amsterdam,5
141,798.63,Entire home/apt,2,1,3.4,1.2,Amsterdam,1
142,854.4,Entire home/apt,4,3,3.4,0.9,Amsterdam,5
143,614.44,Private room,2,1,3.7,0.6,Amsterdam,4
144,283.79,Private room,2,1,1.2,0.8,Amsterdam,4
145,870.11,Entire home/apt,4,3,3.8,1.5,Amsterdam,4
146,180.21,Private room,2,1,2.2,1.9,Amsterdam,4
147,242.07,Private room,2,1,8.3,0.6,Amsterdam,4
148,418.06,Private room,4,1,3.8,2.5,Amsterdam,3
149,281.44,Private room,2,1,2.4,1.3,Amsterdam,2
150,215.12,Private room,2,1,8.6,0.8,Amsterdam,4
151,448.53,Private room,2,1,1.1,0.4,Amsterdam,1
152,614.44,Entire home/apt,2,1,2.4,0.4,Amsterdam,1
153,279.1,Private room,2,1,8.6,0.8,Amsterdam,1
154,663.65,Entire home/apt,2,1,3.6,0.6,Amsterdam,1
155,279.1,Private room,2,1,3.0,0.5,Amsterdam,3
156,1044.69,Entire home/apt,2,1,0.8,0.7,Amsterdam,1
157,299.72,Private room,2,1,4.1,2.8,Amsterdam,4
158,405.64,Entire home/apt,2,1,3.6,0.4,Amsterdam,5
159,2556.18,Entire home/apt,6,3,1.0,1.1,Amsterdam,1
160,985.63,Entire home/apt,2,1,2.1,1.5,Amsterdam,3
161,1214.12,Entire home/apt,4,0,1.9,1.6,Amsterdam,3
162,305.81,Private room,4,1,3.7,0.2,Amsterdam,1
163,937.6,Private room,4,1,1.0,0.5,Amsterdam,5
164,292.46,Private room,2,1,4.7,0.7,Amsterdam,1
165,552.81,Entire home/apt,4,1,4.5,0.4,Amsterdam,3
166,1228.88,Entire home/apt,4,2,4.0,0.6,Amsterdam,2
167,251.92,Private room,2,1,2.4,0.3,Amsterdam,4
168,258.24,Private room,2,1,3.2,0.9,Amsterdam,3
169,562.89,Private room,4,1,1.0,1.0,Amsterdam,1
170,462.12,Entire home/apt,2,0,0.4,0.1,Amsterdam,4
171,458.37,Entire home/apt,2,1,2.1,1.4,Amsterdam,1
172,184.43,Private room,2,1,3.5,1.0,Amsterdam,1
